paper_id,citation_key,arxiv_id,similarity_score,bib_title,ref_title
2210.16298,williams2018broad,1704.05426,1.0,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference
2210.16298,hinton2015distilling,1503.02531,1.0,Distilling the knowledge in a neural network,Distilling the Knowledge in a Neural Network
2210.16298,kaushik2019learning,1909.12434,1.0,Learning The Difference That Makes A Difference With Counterfactually-Augmented ,Learning the Difference that Makes a Difference with Counterfactually-Augmented 
2210.16298,agrawal2018don,1712.00377,1.0,Don't Just Assume; Look and Answer: Overcoming Priors for Visual Question Answer,Don't Just Assume; Look and Answer: Overcoming Priors for Visual Question Answer
2210.16298,Geirhos_2020,2004.07780,1.0,Shortcut learning in deep neural networks,Shortcut learning in deep neural networks
2210.16298,si2019does,1910.12391,1.0,What does bert learn from multiple-choice reading comprehension datasets?,What does BERT Learn from Multiple-Choice Reading Comprehension Datasets?
2210.16298,wolf2019huggingface,1910.03771,1.0,Huggingface's transformers: State-of-the-art natural language processing,HuggingFace's Transformers: State-of-the-art Natural Language Processing
2210.16299,SCC.Self.Coleman.ea2021a,2011.02057,1.0,Online observer-based inverse reinforcement learning,Online Observer-Based Inverse Reinforcement Learning
2210.16299,SCC.Self.Coleman.ea2021,2011.02057,1.0,Online observer-based inverse reinforcement learning,Online Observer-Based Inverse Reinforcement Learning
2210.16299,SCC.Self2020,2011.02057,0.8076923076923077,On model-based online inverse reinforcement learning,Online Observer-Based Inverse Reinforcement Learning
2210.16299,Online.Darko,1612.07796,1.0,First-Person Activity Forecasting with Online Inverse Reinforcement Learning,First-Person Activity Forecasting with Online Inverse Reinforcement Learning
2210.16302,felice2022constructing,2204.07237,1.0,Constructing Open Cloze Tests Using Generation and Discrimination Capabilities o,Constructing Open Cloze Tests Using Generation and Discrimination Capabilities o
